,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
21,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39,PS4
22,Final Fantasy XV,2016,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07,PS4
23,Crash Bandicoot N. Sane Trilogy,2017,Platform,Activision,1.09,2.92,0.07,0.74,4.83,PS4
24,Monster Hunter: World,2018,Action,Capcom,1.03,1.06,2.17,0.42,4.67,PS4
25,Overwatch,2016,Shooter,Blizzard Entertainment,1.84,1.8,0.17,0.73,4.54,PS4
26,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.7,1.99,0.12,0.73,4.53,PS4
27,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.49,2.04,0.16,0.69,4.37,PS4
28,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.29,2.06,0.36,0.64,4.36,PS4
29,Watch Dogs,2014,Action-Adventure,Ubisoft,1.4,2.13,0.11,0.68,4.32,PS4
30,Call of Duty: Ghosts,2013,Shooter,Activision,1.79,1.64,0.05,0.69,4.17,PS4
31,Assassin's Creed: Unity,2014,Action,Ubisoft,1.25,2.16,0.09,0.65,4.14,PS4
32,Destiny 2,2017,Shooter,Activision,1.92,1.44,0.1,0.69,4.14,PS4
33,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive,1.65,1.68,0.11,0.66,4.11,PS4
34,Assassin's Creed Origins,2017,Action,Ubisoft,1.22,2.11,0.11,0.63,4.06,PS4
35,Far Cry 4,2014,Shooter,Ubisoft,1.18,2.14,0.11,0.63,4.06,PS4
36,NBA 2K16,2015,Sports,2K Sports,2.56,0.66,0.05,0.71,3.98,PS4
37,Far Cry 5,2018,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95,PS4
38,Battlefield 4,2013,Shooter,Electronic Arts,1.4,1.74,0.19,0.62,3.94,PS4
39,Gran Turismo Sport,2017,Racing,Sony Interactive Entertainment,0.63,2.35,0.24,0.54,3.77,PS4
40,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.9,2.06,0.08,0.55,3.6,PS4
41,NBA 2K17,2016,Sports,2K Sports,2.28,0.59,0.03,0.63,3.52,PS4
42,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.94,0.94,0.0,0.61,3.49,PS4
43,FIFA Soccer 14,2013,Sports,EA Sports,0.62,2.18,0.12,0.51,3.43,PS4
44,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.24,1.5,0.08,0.54,3.36,PS4
45,Watch Dogs 2,2016,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36,PS4
46,NBA 2K18,2017,Sports,2K Sports,2.13,0.57,0.04,0.59,3.34,PS4
47,Resident Evil VII: Biohazard,2017,Action,Capcom,0.88,1.56,0.41,0.46,3.31,PS4
48,Madden NFL 16,2015,Sports,EA Sports,2.39,0.31,0.0,0.61,3.3,PS4
49,Madden NFL 17,2016,Sports,EA Sports,2.3,0.37,0.0,0.6,3.28,PS4
50,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1.03,1.6,0.05,0.51,3.19,PS4
51,Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19,PS4
52,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12,PS4
53,Bloodborne,2015,Role-Playing,Sony Computer Entertainment,1.3,1.05,0.28,0.48,3.11,PS4
54,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.97,1.15,0.5,0.42,3.04,PS4
55,Killzone: Shadow Fall,2013,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02,PS4
56,inFAMOUS: Second Son,2014,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.5,3.01,PS4
57,Doom (2016),2016,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92,PS4
58,Mafia III,2016,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87,PS4
59,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82,PS4
60,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73,PS4
61,Need for Speed (2015),2015,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72,PS4
62,Madden NFL 18,2017,Sports,EA Sports,1.73,0.42,0.0,0.47,2.62,PS4
63,NBA 2K15,2014,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49,PS4
64,Dying Light,2015,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.4,2.45,PS4
65,Dark Souls III,2016,Role-Playing,Namco Bandai Games,1.0,0.63,0.44,0.34,2.42,PS4
66,Ratchet & Clank (2016),2016,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38,PS4
67,DriveClub,2014,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37,PS4
68,Uncharted: The Lost Legacy,2017,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37,PS4
69,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,1.07,0.8,0.08,0.38,2.34,PS4
70,No Man's Sky,2016,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26,PS4
71,Madden NFL 15,2014,Sports,EA Sports,1.58,0.25,0.0,0.41,2.25,PS4
